STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,DATE_LAST_UPDATE,TYPE_LAST_UPDATE,DEDUCT_CODE,REMARKS,PROGRAM_CODE,PROJ_NO,PROJ_SUFFIX,NBI_TYPE_OF_IMP,DTL_TYPE_OF_IMP,SPECIAL_CODE,STEP_CODE,STATUS,SUFFICIENCY_ASTERC,SUFFICIENCY_RATING
54,00000000001A013,1,4,1,01000,0,07,001,0,'TETER CREEK             ',,'COUNTY ROUTE 10   ','0.01 MI E CO 14          ',99.99,17.168,0,,,39124200,079560600,0,3,01,01,07,1954,1,0,390,2006,4,6.1,0,0,0,0,0,0,0,5,0,0,0,P,1,5,3,03,0,00,1,0,3.6,19.2,20.7,0.2,0.2,3.7,4.3,99.99,N,0,N,99.9,0,7,5,7,7,N,2,34.2,2,22.5,5,2,N,5,8,4,31,1,27.4,508,24,Y24,N00,N00,0508,,,255,250,664,2008,,,,0,N,3,,0,0,0,8,0,0,0,4,0,,Y,8,562,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,54.9
54,00000000001A014,1,4,1,01100,0,07,001,0,' BIG RUN                ',,'COUNTY ROUTE 11   ','0.03 MI W OF CO 11/3     ',99.99,2.108,0,,,39042400,080071800,0,3,01,01,07,1909,2,0,730,2006,4,7.3,0,0,0,0,0,0,0,5,0,0,0,P,1,5,3,02,0,00,1,0,8.6,8.2,9.1,0.2,0.2,8.6,9.2,99.99,N,0,N,99.9,0,7,6,7,6,N,2,22.5,2,12.6,4,5,N,3,6,6,,,,509,12,N00,N00,N00,,,,,,,,,,,0,N,2,,0,0,0,1,6,0,0,4,0,,Y,4,1051,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,65.3
54,00000000001A015,1,4,1,01100,0,07,001,0,'BUCKHANNON RIVER        ',,'COUNTY ROUTE 11   ','0.07 MI WEST OF CO 11/5  ',99.99,4.006,0,,,39040600,080061200,3,3,01,01,07,1993,2,0,730,2006,9,9.4,0,0,0,1,1,1,1,5,0,0,0,A,1,5,4,02,4,02,1,2,7.3,29,75.9,0,0,7.3,8.4,99.99,N,0,N,99.9,0,7,8,8,9,N,1,99.9,1,49.5,8,4,N,5,9,6,,,,1007,48,N00,N00,N00,,,,,,,,,,,0,N,2,,0,0,0,1,0,0,1,5,0,,Y,8,1051,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,83.9
54,00000000001A016,1,4,1,01100,0,07,001,0,'MIDDLE FORK RIVER       ',,'COUNTY ROUTE 11   ','0.01 MI E OF CO 36       ',99.99,10.217,0,,,39023000,080040000,21,3,01,01,07,1940,2,0,100,2006,0,6.7,0,0,0,0,0,1,1,5,0,0,0,A,1,5,3,03,3,03,1,1,6.9,17.7,37.2,0.2,0.2,6.9,7.3,99.99,N,0,N,99.9,0,6,6,6,9,N,2,74.7,2,48.6,6,5,N,5,9,5,,,,409,24,Y24,N00,N00,0409,,,,,,,,,,0,N,2,,0,0,0,1,3,0,0,0,0,,Y,4,144,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,96.9
54,00000000001A019,1,4,1,01200,0,07,001,0,'TYGART VALLEY RIVER     ',,'COUNTY ROUTE 12   ','0.01 MI S CO 12/1 (SLS)  ',99.99,9.799,0,,,39123600,079594200,11,3,01,01,09,1910,1,0,290,2006,0,6.1,0,0,0,0,0,0,0,5,0,0,0,P,1,5,3,10,0,00,4,0,3.6,29,118.3,0.2,0.2,3.7,3.7,99.99,N,0,N,99.9,0,5,5,6,8,N,2,20.7,2,14.4,4,2,N,2,8,6,31,1,128,908,12,Y24,N00,N00,0907,,,697,571,1529,2008,,,,0,N,3,,0,0,0,8,0,0,0,4,0,,Y,8,354,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,42.7
54,00000000001A020,1,4,1,01200,0,07,001,0,'MITCHELL RUN            ',,'COUNTY ROUTE 12   ','0.21 MI N OF CO 8        ',99.99,10.201,0,,,39124800,079594800,0,3,01,01,09,1915,2,0,290,2006,0,6.1,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,01,0,00,2,0,5.7,4,8.8,0,0,5.8,5.8,99.99,N,0,N,99.9,0,5,6,7,6,N,5,31.5,5,14.4,4,3,N,5,6,6,31,1,13.7,108,24,N00,N00,N00,,,,164,162,418,2008,,,,0,N,2,,0,0,0,1,6,0,0,4,0,,Y,8,354,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,53.2
54,00000000001A021,1,4,1,01200,0,07,001,0,'MITCHELL RUN            ',,'COUNTY ROUTE 12   ','0.27 MI N OF CO 8        ',99.99,10.298,0,,,39125400,079594800,0,3,01,01,09,1915,2,0,290,2006,0,6.1,0,45,0,1,1,1,1,5,0,0,0,A,1,5,1,11,0,00,1,0,6.6,8.8,8.8,0,0,6.6,6.7,99.99,N,0,N,99.9,0,N,6,6,8,N,5,31.5,5,14.4,4,4,N,5,9,8,,,,108,24,N00,N00,N00,,,,,,,,,,,0,N,2,,0,0,0,N,N,N,N,4,0,,Y,8,354,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,56.2
54,00000000001A022,1,4,1,01203,0,07,001,0,' LAUREL CREEK           ',,'COUNTY ROUTE 12/3 ','0.02 MI E OF CO 12       ',99.99,0.032,0,,,39120000,079584200,8,3,01,01,09,1918,1,0,20,2006,0,4.9,0,0,0,1,1,1,1,5,0,0,0,P,1,5,4,02,0,00,3,0,3.5,10.1,30.8,0.2,0.2,3.6,3.6,99.99,N,0,N,99.9,0,6,6,6,6,N,2,28.8,2,20.7,6,3,N,5,9,8,31,1,39,608,24,N00,N00,N00,,,,246,238,604,2008,,,,0,N,3,,0,0,1961,8,0,0,0,0,0,,Y,4,24,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,68
54,00000000001A023,1,4,1,01208,0,07,001,0,' LAUREL CREEK           ',,'COUNTY ROUTE 12/8 ','0.15 MI E CO 12 SLS      ',99.99,0.241,0,,,39123600,079584200,0,3,01,01,09,1940,1,0,10,2006,4,4.3,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,03,0,00,2,0,3.3,21.3,45.1,0.2,0.2,3.4,3.7,99.99,N,0,N,99.9,0,6,7,7,8,N,2,58.5,2,41.4,7,3,N,5,9,6,33,2,45.4,608,24,Y24,N00,N00,0608,,,20,10,40,2008,,,,0,N,3,,0,0,1971,8,0,0,0,0,0,,Y,8,12,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,78
54,00000000001A024,1,4,1,01300,0,07,001,0,'BIG RUN                 ',,'COUNTY ROUTE 13   ','0.15 MI S OF CO RT 11 SLS',99.99,1.689,0,,,39043600,080081800,0,3,01,01,09,1994,1,0,50,2006,0,4.9,0,0,0,1,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,4.2,11.6,11.9,0.2,0.2,4.3,4.3,99.99,N,0,N,99.9,0,8,6,6,6,N,2,69.3,2,47.7,6,6,N,5,8,7,,,,1008,48,N00,N00,N00,,,,,,,,,,,0,N,3,,0,0,0,8,6,0,0,0,0,,Y,7,61,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,83
54,00000000001A025,1,4,1,01301,0,07,001,0,'PECKS RUN               ',,'COUNTY ROUTE 13/1 ','0.69 MI S CO 11/4        ',99.99,1.255,0,,,39033600,080071800,0,3,01,01,09,1914,1,0,30,2006,0,3.7,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,11,0,00,1,0,4,11.9,12.8,0.1,0.1,4.1,4.3,99.99,N,0,N,99.9,0,N,5,7,7,N,5,31.5,5,14.4,4,5,N,5,6,6,,,,208,24,N00,N00,N00,,,,,,,,,,,0,N,3,,0,0,0,N,N,N,N,0,0,,Y,8,37,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,47.2
